"","Estimate","Std..Error","t.value","p.z","Power","RunsPerSim"
"(Intercept)",0.588426612663383,0.335006273992862,1.7564644555759,0.079009135468894,0.57,100
"design$Target.Maneuver",0.636167363488477,0.192864274641717,3.29852361029684,0.000971947059756006,0.85,100
"design$Target.Quantity",0.822964391431485,0.215646203563874,3.81627117858222,0.000135483600469444,0.84,100
"design$Launch.Range",0.56431729801722,0.266971034972495,2.11377724207182,0.0345342976063314,0.69,100
"design$Approach.Angle",0.525702719606668,0.253650385295466,2.07254847649571,0.038214320323948,0.74,100
"design$Ship.Maneuver",0.684841412493933,0.400690760921276,1.7091519927221,0.0874227988162577,0.67,100
"design$Target.Maneuver:design$Target.Quantity",0.971682544218942,0.397608024331628,2.44382025702908,0.014532664851824,0.52,100
"design$Target.Maneuver:design$Launch.Range",0.826091765429991,0.563057694202566,1.46715296484839,0.142334448694112,0.45,100
"design$Target.Maneuver:design$Approach.Angle",0.489431294533248,0.455632701919463,1.07417947059419,0.282742251679092,0.47,100
"design$Target.Quantity:design$Launch.Range",1.65001894912108,0.808543908862733,2.04072893387068,0.0412777777508442,0.45,100
"design$Target.Quantity:design$Ship.Maneuver",0.0488352406094815,0.447217363991594,0.109197997532134,0.913045448550795,0.53,100
