Run,Target Maneuver,Target Quantity,Launch Range,Approach Angle,Ship Maneuver
1,Weave,3,5000,0,Yes
2,Radial,3,2500,0,N
3,Radial,3,7500,0,Yes
4,Radial,9,2500,45,N
5,Radial,9,7500,45,N
6,Radial,3,2500,45,N
7,Radial,9,5000,0,N
8,Weave,9,7500,45,N
9,Weave,9,2500,45,N
10,Weave,3,2500,45,N
11,Radial,3,7500,0,N
12,Radial,3,2500,0,Yes
13,Weave,9,2500,0,N
14,Weave,3,7500,0,N
15,Weave,3,5000,0,Yes
16,Radial,9,7500,0,Yes
17,Radial,9,5000,0,N
18,Weave,3,2500,0,N
19,Weave,9,7500,0,Yes
20,Radial,3,5000,45,N
21,Weave,9,5000,45,N
22,Radial,9,2500,0,Yes
23,Radial,9,7500,45,N
24,Weave,3,2500,45,N
25,Weave,9,7500,0,N
26,Weave,3,7500,45,N
27,Radial,3,7500,45,N
28,Weave,9,2500,0,Yes
29,Weave,3,5000,0,Yes
